"order","level","skill","shaped","shape_bonus","start_position","end_position","tariff","fig_notation","description","id"
"0","Elite","half In half Out Triffus","1","0.3","Feet","Feet","1.8","12 1 - 1 o","Tripple back somersault with half twist in 1st somersault and half twists in 3rd somersault phase","1"
"0","Elite","half In Rudi Out Triffus","1","0.3","Feet","Feet","2.0","12 1 - 3 o","Tripple back somersault with half twist in 1st somersault and 1 and a half twists in 3rd somersault phase","2"
"0","Elite","half Out Triffus","1","0.3","Feet","Feet","1.7","12 - - 1 o","Triple somersault with half twist in the last somersault.","3"
"0","Elite","half In - half Out","1","0.2","Feet","Feet","1.2","8 1 1 o","Double back somersault with half twist in each somersault phase","4"
"0","Elite","half In - Back Out","1","0.2","Feet","Feet","1.1","8 1 - o","Double front somersault with half twist in 1st somersault","5"
"0","Elite","half In - Randy Out","1","0.2","Feet","Feet","1.6","8 1 5 o","Double back somersault with half twist in 1st somersault and 2 and a half twists in 2nd somersault phase","6"
"0","Elite","half In - Rudi Out","1","0.2","Feet","Feet","1.4","8 1 3 o","Double back somersault with half twist in 1st somersault and 1 and a half twists in 2nd somersault phase","7"
"0","Elite","half Out","1","0.2","Feet","Feet","1.1","8 - 1 o","Double front somersault with half twist in 2nd somersault.","8"
"0","Elite","half Out Quad","1","0.4","Feet","Feet","2.3","16 - - - 1 o","Quadruple somersault with half twist in the last somersault.","9"
"1.4","Novice","half Twist Jump","0","0","Feet","Feet","0.1","0 1",,"10"
"4.1","Novice","half Twist to Back Drop","0","0","Feet","Back","0.2","1 1",,"11"
"1.1","Advanced","half Twist to Crash Dive","0","0","Feet","Back","0.4","3 1",,"12"
"3.3","Novice","half Twist to Feet (from front)","0","0","Front","Feet","0.2","1 1",,"13"
"4.3","Novice","half Twist to Feet (from back)","0","0","Back","Feet","0.2","1 1",,"14"
"2.3","Novice","half Twist to Feet (from seat)","0","0","Seat","Feet","0.1","0 1",,"15"
"3.1","Novice","half Twist to Front Drop","0","0","Feet","Front","0.2","1 1","Backwards take off. Also known as an Airplane","16"
"2.1","Novice","half Twist to Seat Drop","0","0","Feet","Seat","0.1","0 1",,"17"
"0","Elite","Double Front","1","0.2","Feet","Feet","1.0","8 - - o","Double frontsomersault","81"
"1.5","Novice","Full Twist Jump","0","0","Feet","Feet","0.2","0 2","Variation of the Clara Twist Jump - The worst full twist ever undertaken by a person ever...","19"
"0","Elite","1 three quarters Front Somersault","1","0.2","Feet","Back","0.8","7 - o","Also known as a 1 and 3","20"
"0","Elite","2 three quarters Front Somersault","1","0.2","Feet","Back","1.3","11 - - - o",,"21"
"0","Elite","Adolph","0","0","Feet","Feet","1.2","4 7 /","3 and a half twisting front somersault. Also known as an Ady","22"
