"id","name","level","fig_notation","tariff","shape_bonus","start_position","end_position","short_description","long_description","coaching_points","prereq","lateral_prog","linear_prog","vid","starred","learned"
"1","Tuck Jump","Shape"," o ","0","0","Feet","Feet","A jump which displays the tucked shape.","A jump which displays the tucked shape. A big tall straight bounce displaying a tucked shape at the top of the bounce. Useful for beginners to get used to how it feels to move the body during a bounce, useful for more skilled competitors to demonstrate their body control, core strength and flexibility. Getting into and out of the tucked shape is one of the fundamental body movements of trampoline gymnastics. The others basic shapes are: straight(link), piked(link), and straddled pike(link). When you get comfortable with making your tucked shape at the top of your bounce our coaches will start asking you to ""line out"". This involves pushing back to the straight shape as soon as you've displayed your beautiful tuck. Your arms should remain in line with your body. The best way to describe a good tuck jump/line out is ""explosive"". Get into the shape fast, get out of the shape fast. There is no requirement to display the shape for as long as possible. In fact, this is undesirable. The technical description of the tucked shape cn be found in the FIG code of points 2013-2016 section 14.6.3. It says that ""The angle between the upper body and thighs must be equal to or less than 135 degrees and the angle between the thighs and lower legs must be equal to or less than 135 degrees."" Uniquely to the tucked position section 14.4 also states ""In the tucked position the hands should touch the legs below the knees except in the twisting phase of multiple somersaults.",,,,"[""Pike Jump""]",,"0","1"
"2","Pike Jump","Shape","<","0","0","Feet","Feet","A jump which displays the piked shape. ","A jump which displays the piked shape. A big stretchy straight bounce displaying a piked shape at the top of the bounce. Useful for beginners to get used to how it feels to move the body during a bounce, useful for more skilled competitors to demonstrate their body control, core strength and flexibility. Many beginners find this one of the harder shapes to make. See the body prep. section for ways to improve your pike jump! Making the piked shape is one of the fundamental body movements of trampoline gymnastics. The others basic shapes are: straight(link), tucked(link), and straddled pike(link). When you get comfortable with making your piked shape at the top of your bounce our coaches will start asking you to ""line out"". This involves pushing back to the straight shape as soon as you've displayed your perfect pin-point precise pike. Your arms should reamin in line with your body. Many gymnasts find it helps to imagine yourself putting on trousers to start learning to line-out. See the video for this skill if you find that difficult to imagine. The best way to describe a good pike jump/line out is ""snappy"". Get into the shape fast, get out of the shape fast. There is no requirement to display the shape for as long as possible. In face, this is undesireable. The technical description of the piked shape can be found in the FIG code of points 2013-2016 section 14.6.2. It says that ""The angle between the upper body and thighs must be equal to or less than 135 degrees and the angle between the thighs and lower legs must be greater than 135 degrees."" The 2013-2016 code of points has no requirement to touch the legs during a pike jump. Many coaches will still encourage a gymnast to do so, though. A good rule of thumb is that if you're not telling your arms what to do, they're proabably doing something wrong. Touching your toes (or at least trying to) ensures taht your arms are kept ""straight and/or held close to the body"" as FIG requiers. Some judges may not be aware of the omission in the new code, too. Long story short: reach for your toes, it's pretty!",,,,"[""Straddle Jump""]",,"0","1"
"3","Straddle Jump","Shape","0 -","0","0","Feet","Feet","A jump which displays the straddle shape.","A jump which displays the straddle shape. A big confident straight bounce displaying a straddled pike (usually just called a ""straddle"") shape at the top of the bounce. Useful for beginners to get used to how it feels to move the body during a bounce, useful for more skilled competitors to demonstrate their body control, core strength and flexibility. See the body prep. section, or ask acoach at training for ways to improve your straddle shape! Making the straddle shape is one of the fundamental body movements of trampoline gymnastics. The others basic shapes are: straight(link), tucked(link), and piked(link). Out of all of these shapes, straddled is the only one which cannot be used during a somersault in competition. Experianced tramps will sometimes do straddled somersaults during training. These are purely for fun, and cannot be used in a routine. When you get comfortable with making your straddled shape at the top of your bounce our coaches will start asking you to ""line out"". This involves pushing back to the straight shape as soon as you've displayed your impressive ""holy hell are their legs made from rubber?"" straddle. Your arms should reamin in line with your body. Many gymnasts find it helps to imagine yourself putting on trousers to start learning to line-out. See the video for this skill if you find that difficult to imagine. The best way to describe a good straddle jump/line out is ""confident"". Get into the shape fast, get out of the shape fast. There is no requirement to display the shape for as long as possible. In face, this is undesireable. The technical description of the straddle shape is the same for that of a piked jump except that the legs should be spread apart. Preferably at a 90 degree angle. The technical definition of the piked shape can be found in the FIG code of points 2013-2016 section 14.6.2. It says that ""The angle between the upper body and thighs must be equal to or less than 135 degrees and the angle between the thighs and lower legs must be greater than 135 degrees."" The 2013-2016 code of points has no requirement to touch the legs during a straddle jump. Many coaches will still encourage a gymnast to do so, though. A good rule of thumb is that if you're not telling your arms what to do, they're proabably doing something wrong. Some judges may not be aware of the omission in the new code, too. Touching your toes ensures that the arms are kept ""straight and/or held close to the body"" as FIG requires. Long story short: reach for your toes, it's pretty!",,,,"[""Half Twist Jump""]",,"0","1"
"4","Half Twist Jump","Twist","0 1","0.1","0","Feet","Feet","Bounce and turn, pretty simple really",,,,,"[""Full Twist Jump""]",,"0","1"
"5","Full Twist Jump","Twist","0 2","0.2","0","Feet","Feet","Variation of the Clara Twist Jump - The worst full twist ever undertaken by a person ever...",,,,,"[""Seat Drop""]",,"0","1"
"6","Seat Drop","Seat","0 -","0","0","Feet","Seat","Landing in a seat position",,,,"[""Half Twist to Seat Drop"",""Swivel Hips/Seat Half Twist to Seat Drop"",""Half Twist to Feet (from seat)"",""Full Twist to Feet (from seat)"",""Roller""]","[""Front Drop"",""Back Drop""]",,"0","1"
"7","Half Twist to Seat Drop","Seat","0 1","0.1","0","Feet","Seat",,,,,,,,"0","1"
"8","Swivel Hips/Seat Half Twist to Seat Drop","Seat","0 1","0.1","0","Seat","Seat",,,,,,,,"0","1"
"9","To Feet (from seat)","Seat","0 -","0","0","Seat","Feet",,,,,,,,"0","1"
"10","Half Twist to Feet (from seat)","Seat","0 1","0.1","0","Seat","Seat",,,,,,,,"0","1"
