id,name,comp,code,level,fig_notation,tariff,shape_bonus,start_position,end_position
0,Straight Bounce,0,f0f,,,0.0,,,
1,Tuck Jump,1,ftf,Shape,o,0.0,0.0,Feet,Feet
2,Pike Jump,1,fpf,Shape,<,0.0,0.0,Feet,Feet
3,Straddle Jump,1,fsf,Shape,0 -,0.0,0.0,Feet,Feet
4,Half Twist Jump,1,f1f,Twist,0 1,0.1,0.0,Feet,Feet
5,Full Twist Jump,1,f2f,Twist,0 2,0.2,0.0,Feet,Feet
6,Seat Drop,1,f0s,Seat,0 -,0.0,0.0,Feet,Seat
7,Half Twist to Seat Drop,1,f1s,Seat,0 1,0.1,0.0,Feet,Seat
8,Seat Half Twist To Seat,1,s1s,Seat,0 1,0.1,0.0,Seat,Seat
9,To Feet from Seat,1,s0f,Seat,0 -,0.0,0.0,Seat,Feet
10,Half Twist to Feet from Seat,1,s1f,Seat,0 1,0.1,0.0,Seat,Seat
11,Full Twist to Feet from Seat,1,s2f,Seat,0 2,0.2,0.0,Seat,Seat
12,Roller,0,,Seat,0 2,0.2,0.0,Seat,Seat
13,Front Drop,1,f0r,Front,1 -,0.1,0.0,Feet,Front
14,Half Twist to Front Drop,1,f1r,Front,1 1,0.2,0.0,Feet,Front
15,Full Twist to Front Drop,0,,Front,2 1,0.2,0.0,Feet,Front
16,To Feet from Front,1,r0f,Front,1 -,0.1,0.0,Front,Feet
17,Half Twist to Feet from Front,1,r1f,Front,1 1,0.2,0.0,Front,Feet
18,Full Twist to Feet from Front,0,r2f,Front,1 2,0.3,0.0,Front,Feet
19,Log Roll,0,,Front,0 2,0.2,0.0,Front,Front
20,Tom Cruise,0,,Front,2 1 /,0.3,0.0,Front,Front
21,Turntable,0,,Front,,0.0,0.0,Front,Front
22,Back Drop,1,f0b,Back,1 -,0.1,0.0,Feet,Back
23,Half Twist to Back Drop,1,f1b,Back,1 1,0.2,0.0,Feet,Back
24,Full Twist to Back Drop,1,f2b,Back,2 1,0.2,0.0,Feet,Back
25,To Feet from Back,1,b0f,Back,1 -,0.1,0.0,Back,Feet
